guid,fid,name,cr,size,type,tags,section,alignment,environment,ac,hp,init,lair?,legendary?,unique?,sources
d4ceb2aa-9505-443c-b76f-290f6a926df3,abyss.baphomet,Baphomet,23,Huge,Fiend,Demon,Demon Lords,chaotic evil,,22,333,2,,legendary,unique,Out of the Abyss: 235
4685b839-bb7b-47d2-8f3e-a31552bd37fc,abyss.bridesmaid-of-zuggtmoy,Bridesmaid of Zuggtmoy,1/8,Medium,Plant,,,chaotic evil,,13,22,0,,,,Out of the Abyss: 230
dc3ee8c2-b9e6-43e7-b1c2-866dd293223a,abyss.chamberlain-of-zuggtmoy,Chamberlain of Zuggtmoy,2,Large,Plant,,,chaotic evil,,13,45,-2,,,,Out of the Abyss: 230
eafb811a-c73d-4799-84cf-dd86bd50b79f,abyss.chuul-spore-servant,Chuul Spore Servant,4,Large,Plant,,,unaligned,,16,93,0,,,,Out of the Abyss: 228
7346e68c-5d9c-47d2-9e14-d6b6f809adba,abyss.demogorgon,Demogorgon,26,Huge,Fiend,Demon,Demon Lords,chaotic evil,,22,496,2,,legendary,unique,Out of the Abyss: 236
dd01bced-063c-41cb-ba10-1c933b9d9d88,abyss.derro,Derro,1/4,Small,Humanoid,Derro,,chaotic evil,underground,13,13,2,,,,Out of the Abyss: 224
,abyss.derro-savant,Derro Savant,3,Small,Humanoid,Derro,,chaotic evil,underground,13,49,2,,,,Out of the Abyss: 225
dadd100d-b2ae-4683-8010-0cab2bbc5377,abyss.droki,Droki,2,Small,Humanoid,Derro,,chaotic evil,,15,31,3,,,unique,Out of the Abyss: 231
62d870d7-71d3-45b8-a129-db41d42b2dd7,abyss.drow-spore-servant,Drow Spore Servant,1/8,Medium,Plant,,,unaligned,,15,13,2,,,,Out of the Abyss: 229
001aaabc-e829-4e64-8877-7b8db8d205d6,abyss.duergar-soulblade,Duergar Soulblade,1,Medium,Humanoid,Dwarf,,lawful evil,,14,18,3,,,,Out of the Abyss: 227
14123d05-16e0-4045-ba6b-b022bd5845e4,abyss.duergar-spore-servant,Duergar Spore Servant,1/2,Medium,Plant,,,unaligned,,16,26,0,,,,Out of the Abyss: 229
2efccc81-8f74-45ff-8ccc-241552884efd,abyss.duergar-stone-guard,Duergar Stone Guard,2,Medium,Humanoid,Dwarf,,lawful evil,,18,39,0,,,,Out of the Abyss: 227
0541ae2c-244b-4a26-92c6-d32df0a581ab,abyss.duergar-xarrorn,Duergar Xarrorn,2,Medium,Humanoid,Dwarf,,lawful evil,,18,26,0,,,,Out of the Abyss: 228
24206108-08c1-42cd-9a3d-d0223545d586,abyss.female-steeder,Female Steeder,1,Large,Beast,,,unaligned,,14,30,3,,,,Out of the Abyss: 231
deabbe0c-ec60-4eee-87ed-2e02a5961892,abyss.fraz-urbluu,Fraz-Urb'luu,23,Large,Fiend,Demon,Demon Lords,chaotic evil,,18,350,1,,legendary,unique,Out of the Abyss: 238
02e1b0f5-912e-447c-8118-4946a0c57ef4,abyss.grazzt,Graz'zt,24,Large,Fiend,"Demon, Shapechanger",Demon Lords,chaotic evil,,20,378,2,,legendary,unique,Out of the Abyss: 241
fbd25f01-f510-4790-b778-5e5313ad6a2b,abyss.grisha,Grisha,2,Medium,Humanoid,Damaran Human,,chaotic evil,,18,33,1,,,unique,Out of the Abyss: 232
39171a85-e224-425b-ac84-19d6996efe0e,abyss.hook-horror-servant,Hook Horror Servant,3,Medium,Plant,,,unaligned,,15,75,0,,,,Out of the Abyss: 229
df38742a-fad9-4039-a501-cf5149f2254e,abyss.ixitxachitl,Ixitxachitl,1/4,Small,Aberration,,,chaotic evil,,15,18,3,,,,Out of the Abyss: 225
67fe91fb-6a04-41ba-9efe-7ebd5bec55b4,abyss.juiblex,Juiblex,23,Huge,Fiend,Demon,Demon Lords,chaotic evil,,18,350,0,,legendary,unique,Out of the Abyss: 243
